tweet,Tidy_Tweets,label,name,gender
hotel beds are smth different,hotel bed smth differ,0,Aaqib,1
@meliosicon @dixchixs mia's such a kind and amazing friend and one of my fav ppl on this entire app! whenever im going thru smth she always checks up on me and is always there for me. she's also super funny and always makes me smile! i love her so fucking much and idek what i would do without her &lt;3,such kind amaz friend thi entir whenev go thru smth alway check alway there also super funni alway make smile love fuck much idek what would without,0,Aasiyah,1
the mr.beast burgers are more alive than c!wilbur and that’s saying smth....,beast burger more aliv than wilbur that say smth,0,Aamir,1
U know when u want someone to do smth but u don’t wanna tell them to do it cause it’s not gonna be genuine but u rrllyy want them to cause it’ll make u happy,know when want someon smth wanna tell them caus gonna genuin rrllyy want them caus make happi,0,Aaliyah-louise,0
for everyone whos concerned/wondering where sam is ( @4NGSTR0M ) i talked to them and got permission to say smth. they will be taking an indefinite hiatus for the time being but theyre doing well ^^,everyon who concern wonder where talk them permiss smth they will take indefinit hiatu time be theyr do well,0,Aaiyana,0
"Had a an interesting chat with a barber in Glasgow. He mentioned “going to Europe” for his summer break. Asked what he meant by “Europe” - EU + Scotland. England, he says, is a different beast that limits Scotland’s aspiration for smth bigger. Not much love ❤️ for England here.",interest chat with barber glasgow mention go europ summer break ask what meant europ scotland england say differ beast that limit scotland aspir smth bigger much love england here,0,Aadon,1
guy:  *apologizes after being called out for doing smth inappropriate*  his friends: mOrE pOwEr tO yoU bOy 💪,apolog after be call do smth inappropri friend more power,0,Aaryav,1
smth special is happening tomorrow with a certain someone by the name of @B_eetle_ !!  stay tuned tomorrow (wednesday) at 6:15 pm PST for an epic minecraft collab !!,smth special happen tomorrow with certain someon name stay tune tomorrow wednesday epic minecraft collab,0,Aatami,1
love when bts post smth and all the lesbians on my tl are just like 🏳️‍🌈🚫🙅🏻‍♂️🙅🏻‍♂️🙅🏻‍♂️,love when post smth lesbian just like,0,Aaysha,0
"while im ia doing some shit called studying or smth, reply for the bhfgc to rate your layout (some of my friends are harsh so beware)",while do some shit call studi smth repli bhfgc rate your layout some friend harsh bewar,0,Aalap,1
Yoo jaesuk said smth about Suzy's narration 😭😭😭  Baeksang Lady SUZY #BaeSuzy #BaeksangArtsAwards2021,jaesuk said smth about suzi narrat baeksang ladi suzi #baesuzi #baeksangartsaward,0,Aaronjit,1
so excited for all my girls to drop eid pix i will rt ALL ALL ALLLL‼️💕💞💓💗💖💘 and i think guys should j wear a black kurta or smth lol😐,excit girl drop will allll think guy should wear black kurta smth,0,Aaronn,1
did hld lie abt us getting louis unseens today or are they planning smth for when everyone is asleep🤨🤨🤨,get loui unseen today they plan smth when everyon asleep,0,Aaliyan,0
my adult dream is to work in a radio station or smth. i love speaking but im not comfortable with camera or video. wish i could also have my own podcast one day.,adult dream work radio station smth love speak comfort with camera video wish could also have podcast,0,Aahana,0
"the aespa teasers started about 12 days before comeback, exo have more mambers, versions and stuff so in my opinion teasers will start going out smth about 19/20th of may",aespa teaser start about day befor comeback have more mamber version stuff opinion teaser will start go smth about,0,Aalayna,0
Yo If I opened commissions would you take one? My parents have been mentioning I should get a job soon but id rather do something I enjoy doing than working at Mcdonalds or smth.  -3-,open commiss would take parent have been mention should soon rather someth enjoy do than work mcdonald smth,0,Aamori,0
on the werebunny update gkfjdkgf i know it's not much but it's smth i've been thinking about a lot and i figured it fit the universe xvx so it's just plumey thoughts + bangtan cuteness for the soul,werebunni updat gkfjdkgf know much smth been think about figur univers just plumey thought bangtan cute soul,0,Aaron-james,1
(the talk during eid)  my father’s side family : *smth abt the education topic*   my mother’s side family : *flashback abt all the thing they do during their childhood*,talk dure father side famili smth educ topic mother side famili flashback thing they dure their childhood,0,Aarez,1
"kyum had far less opportunities to showcase his skill in making music, and most times he was focused for dance. ofc it'll be smth that we can never separate from him but for his solo, I believe a lot of people will pay attention to the artist yugyeom that can do both.",kyum less opportun showcas skill make music most time focus danc smth that never separ from solo believ peopl will attent artist yugyeom that both,0,Aadrit,1
"I may seem useless or not too loud as stantwt bcs I don't post photos, I don't make any covers or art or tweet smth interesting.   But here I just wanna say that I love their musics sm altho I didn't show it 😔💛",seem useless loud stantwt post photo make cover tweet smth interest here just wanna that love their music altho didn show,0,Aalijah,1
ALSO im officially launching my shop may 31st noon EST!! I'll make a proper promo post about it later and will hopefully have either a countdown going or my newsletter up by launch date :] a lot of new stuff on the way and some updated versions of old stuff as well!,also offici launch shop noon make proper promo post about later will hope have either countdown go newslett launch date stuff some updat version stuff well,0,Aalam,1
"yes you can tell me why u didn't know it when you have access to the internet but to be honest we don't search until we hear smth bad about it but since im on this side of twt, I've been educating myself with all the things that my moots tweet and rt about an issue",tell didn know when have access internet honest search until hear smth about sinc thi side been educ myself with thing that moot tweet about issu,0,Aansi,0
wanna know smth funny?  we are prolly gonna get a ranboo and skeppy meetup before the happyduo meetup,wanna know smth funni prolli gonna ranboo skeppi meetup befor happyduo meetup,0,Aafje,0
pls retweet this -miraculous  -tales of arcadia -cole sprouse  -tom holland -manu rios -shera  -friends -b99 -tvdu if you are in any of these fandoms comment smth and i'll text you&lt;3,retweet thi miracul tale arcadia cole sprous holland manu rio shera friend tvdu these fandom comment smth text,0,Aayan,0
